Invoice_ID,Order_ID,Quote_ID,Lead_ID,Opp_ID,Account_ID,Product_ID,Product Name,Actual Revenue,Actual Close Date,City,Product Category
IN-295-50368,OP-510-92577,QU-894-53560,LE-523-68050,OP-036-32147,ACC-741-00289,A-4r4833h7,Mark-1,9021,2020-04-01 04:21:00,Naas,Assembled
IN-732-89693,OP-626-00437,QU-430-82691,LE-797-10512,OP-372-65475,ACC-741-76916,A-4r4833h7,Mark-1,6944,2020-02-09 11:14:00,Ennis,Assembled
IN-182-95749,OP-264-53041,QU-024-37127,LE-514-33659,OP-062-00240,ACC-985-79669,A-4r4833h7,Mark-1,4139,2019-03-31 21:43:00,Port Laoise,Assembled
IN-679-83685,OP-985-96254,QU-796-12749,LE-837-14611,OP-189-69229,ACC-001-88170,A-4r4833h7,Mark-1,7950,2019-07-18 18:23:00,Newbridge,Assembled
IN-414-13255,OP-303-33475,QU-193-51022,LE-521-13620,OP-168-28658,ACC-126-15270,A-4r4833h7,Mark-1,7310,2019-07-11 09:30:00,Dublin,Assembled
IN-977-64268,OP-687-24820,QU-326-94168,LE-132-54857,OP-245-21365,ACC-842-65334,A-4r4833h7,Mark-1,2451,2020-04-27 05:25:00,Limerick,Assembled
IN-725-86263,OP-986-04715,QU-064-48806,LE-649-85450,OP-092-98140,ACC-794-30854,A-4r4833h7,Mark-1,6504,2020-02-11 09:09:00,Port Laoise,Assembled
IN-529-65557,OP-892-43986,QU-986-97843,LE-361-59599,OP-512-65592,ACC-500-48864,A-4r4833h7,Mark-1,7233,2019-06-09 07:03:00,Waterford,Assembled
IN-464-17813,OP-618-96222,QU-904-11094,LE-642-18436,OP-518-65108,ACC-881-64488,A-4r4833h7,Mark-1,2816,2019-05-15 01:13:00,Kilkenny,Assembled
IN-924-73484,OP-006-68667,QU-566-51924,LE-101-04820,OP-431-81790,ACC-717-05762,A-4r4833h7,Mark-1,2353,2019-10-12 22:19:00,Dundalk,Assembled
IN-964-93757,OP-085-16860,QU-381-08155,LE-020-94137,OP-040-01834,ACC-057-48099,A-4r4833h7,Mark-1,9138,2019-08-07 15:58:00,Naas,Assembled
IN-958-51029,OP-663-22802,QU-852-79905,LE-749-51952,OP-905-05103,ACC-600-48623,A-4r4833h7,Mark-1,7531,2019-09-12 10:08:00,Dundalk,Assembled
IN-470-69503,OP-835-04887,QU-785-35829,LE-047-79867,OP-265-66495,ACC-590-34723,A-4r4833h7,Mark-1,5342,2019-06-13 11:12:00,Drogheda,Assembled
IN-391-00515,OP-313-74569,QU-077-04158,LE-374-94680,OP-869-12829,ACC-937-65883,A-4r4833h7,Mark-1,8711,2019-10-05 22:11:00,Carlow,Assembled
IN-832-48128,OP-636-37771,QU-668-03205,LE-521-76636,OP-151-58984,ACC-805-53377,A-4r4833h7,Mark-1,7707,2020-05-03 16:32:00,Dundalk,Assembled
IN-499-43138,OP-552-97100,QU-505-93712,LE-691-80762,OP-199-71034,ACC-898-84925,A-4r4833h7,Mark-1,7837,2020-01-12 00:33:00,Naas,Assembled
IN-012-34423,OP-726-21180,QU-310-11347,LE-711-95433,OP-990-73128,ACC-821-43426,A-4r4833h7,Mark-1,4208,2019-09-17 00:12:00,Newbridge,Assembled
IN-406-49365,OP-066-16514,QU-946-39982,LE-775-02838,OP-276-21286,ACC-894-25061,A-4r4833h7,Mark-1,8505,2019-07-30 21:37:00,Kilkenny,Assembled
IN-598-91706,OP-935-93629,QU-950-72137,LE-566-79630,OP-133-42529,ACC-248-79976,A-4r4833h7,Mark-1,8670,2019-11-02 07:08:00,Newbridge,Assembled
IN-015-46999,OP-134-59228,QU-928-38731,LE-928-55636,OP-436-38662,ACC-350-11356,A-4r4833h7,Mark-1,6428,2019-09-24 06:24:00,Waterford,Assembled
IN-262-17561,OP-868-82809,QU-967-64613,LE-327-86263,OP-606-40070,ACC-259-16471,A-4r4833h7,Mark-1,5352,2019-12-03 06:19:00,Tralee,Assembled
IN-304-83310,OP-446-08741,QU-151-18474,LE-823-80124,OP-090-85863,ACC-928-00517,A-4r4833h7,Mark-1,4606,2019-11-08 00:52:00,Galway,Assembled
IN-328-43629,OP-722-25934,QU-249-05476,LE-156-17172,OP-955-84539,ACC-660-39178,A-4r4833h7,Mark-1,5521,2019-12-28 04:52:00,Athlone,Assembled
IN-698-43441,OP-273-21972,QU-490-75805,LE-545-02624,OP-924-07217,ACC-992-51450,A-4r4833h7,Mark-1,8734,2019-05-16 20:19:00,Dundalk,Assembled
IN-206-46058,OP-115-14798,QU-493-79818,LE-551-98306,OP-536-42791,ACC-427-76089,A-4r4833h7,Mark-1,6518,2019-09-21 10:22:00,Athlone,Assembled
IN-727-52467,OP-814-63000,QU-281-15572,LE-709-17158,OP-177-53987,ACC-551-85025,A-4r4833h7,Mark-1,7698,2019-06-03 20:20:00,Waterford,Assembled
IN-514-59293,OP-405-86316,QU-850-36018,LE-090-14892,OP-754-35720,ACC-650-78065,A-4r4833h7,Mark-1,9509,2019-10-27 06:36:00,Waterford,Assembled
IN-754-68992,OP-375-43593,QU-900-82685,LE-353-65051,OP-631-93360,ACC-269-17476,A-4r4833h7,Mark-1,6449,2019-05-19 11:12:00,Ennis,Assembled
IN-996-68764,OP-932-62408,QU-960-07742,LE-454-36739,OP-893-17095,ACC-145-04828,A-4r4833h7,Mark-1,5377,2019-04-15 11:59:00,Athlone,Assembled
IN-299-55931,OP-685-58007,QU-348-21139,LE-329-52412,OP-828-21790,ACC-360-27776,A-4r4833h7,Mark-1,8077,2020-02-11 00:20:00,Newbridge,Assembled
IN-072-90251,OP-218-09915,QU-314-43451,LE-085-47932,OP-829-92715,ACC-060-13156,A-4r4833h7,Mark-1,8339,2019-11-18 02:02:00,Kilkenny,Assembled
IN-335-17275,OP-541-85076,QU-388-60652,LE-078-33820,OP-491-55193,ACC-440-05909,A-4r4833h7,Mark-1,5513,2019-11-11 13:55:00,Dublin,Assembled
IN-356-37802,OP-575-13306,QU-302-92884,LE-386-35885,OP-330-83980,ACC-807-58484,A-4r4833h7,Mark-1,5730,2019-09-20 16:11:00,Ennis,Assembled
IN-186-57562,OP-233-46693,QU-328-71595,LE-270-08121,OP-737-50086,ACC-819-57139,A-4r4833h7,Mark-1,4676,2020-04-07 02:30:00,Port Laoise,Assembled
IN-587-43969,OP-911-64218,QU-583-73984,LE-658-57237,OP-163-43321,ACC-542-72288,A-4r4833h7,Mark-1,7889,2019-07-07 10:43:00,Naas,Assembled
IN-135-56885,OP-731-19773,QU-784-78934,LE-838-23843,OP-941-56174,ACC-231-28354,A-4r4833h7,Mark-1,8012,2020-01-22 15:51:00,Cork,Assembled
IN-213-74813,OP-178-92777,QU-420-95155,LE-613-57323,OP-333-26345,ACC-058-31992,A-4r4833h7,Mark-1,6412,2019-03-30 02:15:00,Balbriggan,Assembled
IN-207-51863,OP-928-76620,QU-487-02460,LE-621-08162,OP-712-38894,ACC-630-53229,A-4r4833h7,Mark-1,5550,2019-08-26 12:58:00,Tralee,Assembled
IN-064-75973,OP-725-13168,QU-106-05952,LE-293-05658,OP-977-00086,ACC-204-21646,A-4r4833h7,Mark-1,7333,2019-05-26 21:17:00,Port Laoise,Assembled
IN-070-08424,OP-896-14896,QU-772-88784,LE-774-58562,OP-102-87785,ACC-427-02831,SP-7g2488r5,Print Bed,2394,2020-02-08 00:22:00,Newbridge,Spare Parts
IN-528-36430,OP-264-26106,QU-907-93840,LE-230-56477,OP-953-33295,ACC-609-29618,SP-7g2488r5,Print Bed,7275,2020-04-27 15:33:00,Dublin,Spare Parts
IN-424-04927,OP-880-10327,QU-955-33622,LE-486-72369,OP-428-96866,ACC-761-48246,SP-7g2488r5,Print Bed,7470,2020-01-03 22:25:00,Carlow,Spare Parts
IN-793-73690,OP-281-57591,QU-150-47309,LE-478-26924,OP-015-12998,ACC-228-83513,SP-7g2488r5,Print Bed,8400,2020-01-31 21:13:00,Carlow,Spare Parts
IN-834-15001,OP-458-04625,QU-611-25946,LE-497-78534,OP-955-93053,ACC-488-67305,SP-7g2488r5,Print Bed,5389,2019-10-28 16:47:00,Drogheda,Spare Parts
IN-614-68282,OP-824-34449,QU-853-40246,LE-792-57757,OP-773-80917,ACC-560-17779,SP-7g2488r5,Print Bed,4859,2020-01-23 02:18:00,Navan,Spare Parts
IN-335-40391,OP-470-22995,QU-603-67903,LE-760-35759,OP-446-38634,ACC-844-60202,SP-7g2488r5,Print Bed,7130,2019-12-30 06:24:00,Dublin,Spare Parts
IN-061-82173,OP-355-95723,QU-236-79801,LE-064-42368,OP-036-87975,ACC-662-56335,SP-7g2488r5,Print Bed,6824,2019-07-22 23:50:00,Carlow,Spare Parts
IN-099-67650,OP-714-30027,QU-899-29658,LE-937-82838,OP-406-98248,ACC-969-17643,SP-7g2488r5,Print Bed,7711,2019-04-20 19:51:00,Bray,Spare Parts
IN-315-22782,OP-745-76881,QU-539-11935,LE-500-44272,OP-087-72873,ACC-577-72633,SP-7g2488r5,Print Bed,8405,2019-12-03 03:44:00,Swords,Spare Parts
IN-277-13178,OP-995-60536,QU-323-25864,LE-798-00906,OP-844-98809,ACC-917-95369,SP-7g2488r5,Print Bed,7788,2019-04-13 21:40:00,Dundalk,Spare Parts
IN-405-53092,OP-015-10227,QU-384-45570,LE-566-50186,OP-511-97719,ACC-505-78274,SP-7g2488r5,Print Bed,7476,2019-10-25 18:50:00,Kilkenny,Spare Parts
IN-546-93181,OP-223-45676,QU-340-60911,LE-144-53678,OP-438-87284,ACC-844-52009,SP-7g2488r5,Print Bed,6717,2019-06-20 01:01:00,Swords,Spare Parts
IN-588-41560,OP-737-21725,QU-639-59405,LE-250-04660,OP-281-18788,ACC-208-55500,SP-7g2488r5,Print Bed,7476,2020-03-21 19:13:00,Carlow,Spare Parts
IN-840-39854,OP-260-72654,QU-225-33901,LE-761-01767,OP-707-45498,ACC-789-19691,SP-7g2488r5,Print Bed,4014,2020-04-24 00:46:00,Bray,Spare Parts
IN-779-60309,OP-570-55862,QU-581-00651,LE-229-27727,OP-740-76839,ACC-667-70917,SP-7g2488r5,Print Bed,2888,2019-09-27 07:57:00,Drogheda,Spare Parts
IN-367-24245,OP-596-18812,QU-789-93762,LE-093-87156,OP-860-06481,ACC-669-74928,SP-7g2488r5,Print Bed,4852,2019-07-07 20:53:00,Balbriggan,Spare Parts
IN-199-41522,OP-336-24656,QU-630-79345,LE-159-99110,OP-960-40744,ACC-222-72348,SP-7g2488r5,Print Bed,7264,2020-03-27 00:21:00,Cork,Spare Parts
IN-201-09408,OP-389-09594,QU-791-12499,LE-157-70399,OP-641-77467,ACC-402-99476,SP-7g2488r5,Print Bed,8436,2019-09-26 04:07:00,Dublin,Spare Parts
IN-969-20647,OP-120-05971,QU-653-54661,LE-272-75327,OP-323-31954,ACC-066-62660,SP-7g2488r5,Print Bed,9335,2019-06-03 16:22:00,Limerick,Spare Parts
IN-318-53068,OP-212-63693,QU-970-85204,LE-825-07362,OP-938-69196,ACC-476-62814,SP-7g2488r5,Print Bed,8798,2020-01-24 21:09:00,Dublin,Spare Parts
IN-149-37062,OP-696-07608,QU-909-24904,LE-327-67675,OP-136-96188,ACC-843-28090,SP-7g2488r5,Print Bed,3986,2019-12-23 21:44:00,Swords,Spare Parts
IN-170-84796,OP-782-53679,QU-565-96825,LE-771-90817,OP-152-90625,ACC-353-95168,SP-7g2488r5,Print Bed,2617,2020-02-19 03:46:00,Bray,Spare Parts
IN-699-69171,OP-151-14299,QU-572-64147,LE-914-42863,OP-549-93971,ACC-052-00612,SP-7g2488r5,Print Bed,6774,2019-06-12 08:53:00,Naas,Spare Parts
IN-038-27231,OP-024-76432,QU-125-52732,LE-613-40117,OP-204-10287,ACC-551-04138,SP-7g2488r5,Print Bed,4896,2019-11-20 09:01:00,Dublin,Spare Parts
IN-074-10253,OP-416-58438,QU-177-15361,LE-610-43453,OP-171-75301,ACC-226-83972,SP-7g2488r5,Print Bed,5164,2019-12-08 11:05:00,Ennis,Spare Parts
IN-858-15746,OP-803-93254,QU-720-09846,LE-394-26277,OP-814-56716,ACC-141-40122,SP-7g2488r5,Print Bed,7007,2020-01-09 19:01:00,Dundalk,Spare Parts
IN-414-84565,OP-115-61377,QU-931-37181,LE-411-36473,OP-331-04387,ACC-903-35347,SP-7g2488r5,Print Bed,2901,2019-04-22 01:12:00,Athlone,Spare Parts
IN-826-24334,OP-324-76196,QU-303-22596,LE-309-11191,OP-336-28267,ACC-930-64642,SP-7g2488r5,Print Bed,4677,2020-04-29 13:36:00,Swords,Spare Parts
IN-220-71751,OP-744-89003,QU-307-75007,LE-481-26143,OP-233-33940,ACC-863-26032,SP-7g2488r5,Print Bed,3891,2019-10-07 20:19:00,Tralee,Spare Parts
IN-019-43934,OP-455-02296,QU-732-92200,LE-154-46938,OP-610-32559,ACC-557-06542,SP-7g2488r5,Print Bed,9904,2020-01-07 21:58:00,Tralee,Spare Parts
IN-251-56616,OP-603-12645,QU-346-79300,LE-933-52030,OP-086-93842,ACC-172-03895,SP-7g2488r5,Print Bed,5977,2020-03-10 06:59:00,Galway,Spare Parts
IN-142-97885,OP-777-27877,QU-437-23058,LE-208-49529,OP-493-93126,ACC-252-39878,SP-7g2488r5,Print Bed,5173,2019-12-27 08:35:00,Waterford,Spare Parts
IN-614-89071,OP-429-05026,QU-178-01478,LE-887-56633,OP-374-16620,ACC-300-59117,SP-7g2488r5,Print Bed,4474,2020-03-13 07:16:00,Port Laoise,Spare Parts
IN-178-39448,OP-224-32955,QU-299-18073,LE-775-11240,OP-224-83610,ACC-800-92399,SP-7g2488r5,Print Bed,10829,2019-12-04 00:51:00,Cork,Spare Parts
IN-785-02407,OP-910-66553,QU-547-67330,LE-705-85964,OP-784-33631,ACC-021-68741,SP-7g2488r5,Print Bed,4548,2020-01-25 02:19:00,Ennis,Spare Parts
IN-115-44343,OP-061-95417,QU-715-33935,LE-390-43836,OP-057-71257,ACC-697-42516,SP-7g2488r5,Print Bed,4540,2019-08-19 12:26:00,Kilkenny,Spare Parts
IN-991-61425,OP-198-76099,QU-924-76842,LE-240-34451,OP-312-87146,ACC-448-94130,SP-7g2488r5,Print Bed,5359,2019-08-04 19:34:00,Port Laoise,Spare Parts
IN-843-69562,OP-549-15703,QU-405-23301,LE-890-45035,OP-754-48663,ACC-561-67276,SP-7g2488r5,Print Bed,7885,2019-04-03 09:18:00,Swords,Spare Parts
IN-738-95127,OP-239-68885,QU-680-90319,LE-428-89158,OP-358-85741,ACC-324-67668,SP-7g2488r5,Print Bed,4952,2020-02-08 16:29:00,Athlone,Spare Parts
IN-843-99669,OP-913-71337,QU-343-38007,LE-153-30612,OP-463-85248,ACC-236-41541,SP-7g2488r5,Print Bed,7802,2019-04-22 10:09:00,Swords,Spare Parts
IN-548-71578,OP-135-27129,QU-284-47066,LE-581-85052,OP-685-93545,ACC-077-99325,SP-7g2488r5,Print Bed,5827,2020-01-12 21:09:00,Port Laoise,Spare Parts
IN-354-15631,OP-113-64205,QU-701-05910,LE-640-45746,OP-908-55971,ACC-315-33280,SP-9o2014z5,Frame,7054,2020-01-26 07:56:00,Kilkenny,Spare Parts
IN-531-58821,OP-506-99391,QU-794-74818,LE-925-35043,OP-189-90975,ACC-652-21487,SP-9o2014z5,Frame,5332,2019-12-07 21:48:00,Kilkenny,Spare Parts
IN-180-52269,OP-826-62128,QU-226-76957,LE-741-74739,OP-655-43858,ACC-099-66870,SP-9o2014z5,Frame,8233,2019-05-11 00:32:00,Drogheda,Spare Parts
IN-860-38539,OP-627-04037,QU-028-36128,LE-938-86111,OP-048-70538,ACC-786-66208,SP-9o2014z5,Frame,4062,2019-08-15 17:02:00,Waterford,Spare Parts
IN-605-93164,OP-660-28189,QU-055-04700,LE-480-99426,OP-600-23114,ACC-001-17573,SP-9o2014z5,Frame,5926,2020-01-02 15:22:00,Waterford,Spare Parts
IN-302-33027,OP-203-96415,QU-608-88479,LE-123-89444,OP-263-64611,ACC-745-38488,SP-9o2014z5,Frame,7494,2020-01-30 11:23:00,Balbriggan,Spare Parts
IN-458-06839,OP-597-18610,QU-641-71817,LE-387-98503,OP-868-54461,ACC-147-61582,SP-9o2014z5,Frame,9080,2019-11-28 03:17:00,Newbridge,Spare Parts
IN-191-75920,OP-717-75332,QU-559-75684,LE-720-31605,OP-032-92847,ACC-443-77478,SP-9o2014z5,Frame,10589,2019-07-17 07:07:00,Carlow,Spare Parts
IN-710-17581,OP-424-89437,QU-052-59806,LE-928-16869,OP-738-02845,ACC-052-75833,SP-9o2014z5,Frame,4956,2019-10-17 20:33:00,Dundalk,Spare Parts
IN-282-64726,OP-841-32517,QU-163-72593,LE-076-17451,OP-203-41375,ACC-528-27350,SP-9o2014z5,Frame,7551,2020-03-31 06:14:00,Waterford,Spare Parts
IN-544-35855,OP-738-40658,QU-680-57124,LE-145-38823,OP-869-00399,ACC-021-05421,SP-9o2014z5,Frame,1723,2020-02-16 20:21:00,Drogheda,Spare Parts
IN-821-27315,OP-788-88831,QU-904-54322,LE-664-61534,OP-964-53307,ACC-314-59605,SP-9o2014z5,Frame,6609,2019-11-20 10:16:00,Carlow,Spare Parts
IN-585-86654,OP-332-21207,QU-272-11295,LE-384-58781,OP-243-30377,ACC-880-83042,SP-9o2014z5,Frame,2225,2019-09-16 11:40:00,Dublin,Spare Parts
IN-498-12846,OP-485-40678,QU-326-71005,LE-686-91173,OP-257-77281,ACC-495-95496,SP-9o2014z5,Frame,7878,2020-03-27 20:16:00,Dublin,Spare Parts
IN-409-58341,OP-125-96734,QU-045-51927,LE-995-80436,OP-457-17853,ACC-872-41428,SP-9o2014z5,Frame,5817,2019-07-06 13:12:00,Dundalk,Spare Parts
IN-047-68343,OP-107-18572,QU-413-99462,LE-447-54155,OP-961-33626,ACC-279-99210,SP-9o2014z5,Frame,6545,2019-10-06 14:31:00,Waterford,Spare Parts
IN-166-38034,OP-750-33314,QU-414-17602,LE-691-94178,OP-424-89302,ACC-145-86645,SP-9o2014z5,Frame,4862,2020-02-23 19:34:00,Dundalk,Spare Parts
IN-602-33166,OP-458-19462,QU-825-42506,LE-521-63322,OP-112-94007,ACC-786-09886,SP-9o2014z5,Frame,4122,2019-09-26 22:08:00,Cork,Spare Parts
IN-460-79476,OP-233-10931,QU-792-58183,LE-866-71435,OP-217-46480,ACC-428-55383,SP-9o2014z5,Frame,5587,2020-05-10 03:31:00,Waterford,Spare Parts
IN-777-02273,OP-261-49189,QU-383-67703,LE-962-98818,OP-994-20498,ACC-945-49574,SP-9o2014z5,Frame,7557,2020-01-01 13:33:00,Waterford,Spare Parts
IN-448-41274,OP-507-15372,QU-107-34058,LE-817-29929,OP-622-95719,ACC-486-95212,SP-9o2014z5,Frame,5408,2019-07-04 00:51:00,Carlow,Spare Parts
IN-126-86532,OP-275-27210,QU-683-03240,LE-813-75694,OP-546-36762,ACC-070-09295,SP-9o2014z5,Frame,6306,2019-05-14 11:56:00,Swords,Spare Parts
IN-268-68603,OP-676-35797,QU-842-93780,LE-816-38581,OP-598-09693,ACC-232-47639,SP-9o2014z5,Frame,6111,2020-03-13 04:31:00,Newbridge,Spare Parts
IN-411-13099,OP-720-53714,QU-307-39787,LE-759-93177,OP-463-38600,ACC-075-34657,SP-9o2014z5,Frame,7034,2020-01-16 07:04:00,Dublin,Spare Parts
IN-249-70429,OP-986-58170,QU-903-20652,LE-155-55486,OP-286-72114,ACC-819-25687,SP-9o2014z5,Frame,5065,2019-10-06 23:05:00,Kilkenny,Spare Parts
IN-380-43268,OP-919-53676,QU-390-98323,LE-585-78882,OP-149-17206,ACC-425-82771,SP-9o2014z5,Frame,8018,2019-11-24 18:15:00,Dublin,Spare Parts
IN-552-48771,OP-612-77937,QU-273-78360,LE-015-43151,OP-058-32999,ACC-624-56592,SP-9o2014z5,Frame,9165,2020-01-31 11:09:00,Swords,Spare Parts
IN-920-62649,OP-068-41692,QU-632-37544,LE-088-04251,OP-417-37122,ACC-609-31389,SP-9o2014z5,Frame,7830,2019-07-24 13:29:00,Cork,Spare Parts
IN-694-21346,OP-222-20961,QU-896-57876,LE-099-36149,OP-006-48478,ACC-315-31643,SP-9o2014z5,Frame,7909,2019-08-25 09:01:00,Drogheda,Spare Parts
IN-492-03172,OP-315-24878,QU-735-03993,LE-207-54774,OP-325-95948,ACC-133-57637,SP-9o2014z5,Frame,6063,2019-12-13 12:26:00,Drogheda,Spare Parts
IN-853-88023,OP-987-92434,QU-373-70666,LE-637-82203,OP-101-98307,ACC-451-62049,SP-9o2014z5,Frame,7061,2019-06-08 05:46:00,Balbriggan,Spare Parts
IN-050-38845,OP-260-44683,QU-643-85625,LE-624-15500,OP-981-02449,ACC-565-14104,SP-9o2014z5,Frame,3958,2019-11-14 03:16:00,Port Laoise,Spare Parts
IN-859-18203,OP-494-01942,QU-807-51375,LE-512-93192,OP-908-17870,ACC-228-15972,SP-9o2014z5,Frame,4879,2019-08-09 10:20:00,Dundalk,Spare Parts
IN-727-62854,OP-194-22163,QU-277-58413,LE-193-64460,OP-300-76858,ACC-995-23267,SP-9o2014z5,Frame,5765,2019-04-23 16:08:00,Dublin,Spare Parts
IN-826-37246,OP-195-66980,QU-889-33770,LE-275-49526,OP-414-84481,ACC-248-12652,SP-9o2014z5,Frame,3679,2019-12-04 22:11:00,Drogheda,Spare Parts
IN-783-40187,OP-831-72048,QU-354-95778,LE-433-88724,OP-868-93491,ACC-317-83791,SP-9o2014z5,Frame,4940,2019-10-26 00:00:00,Cork,Spare Parts
IN-231-85485,OP-701-87174,QU-400-92181,LE-408-49313,OP-883-30067,ACC-122-52045,SP-9o2014z5,Frame,8360,2019-07-08 13:52:00,Athlone,Spare Parts
IN-018-98283,OP-388-54920,QU-576-49349,LE-817-89957,OP-467-67374,ACC-123-83623,SP-9o2014z5,Frame,3691,2019-05-06 07:59:00,Balbriggan,Spare Parts
IN-904-30337,OP-666-93920,QU-245-98045,LE-568-63363,OP-687-48569,ACC-500-77551,SP-9o2014z5,Frame,7440,2019-08-30 08:29:00,Naas,Spare Parts
IN-114-73757,OP-616-87939,QU-167-09875,LE-987-18426,OP-188-22620,ACC-823-32470,SP-9o2014z5,Frame,4283,2019-07-15 22:05:00,Carlow,Spare Parts
IN-275-31658,OP-352-46565,QU-990-13328,LE-600-92563,OP-710-25071,ACC-436-85004,SP-9o2014z5,Frame,4991,2019-04-29 12:31:00,Naas,Spare Parts
IN-620-61222,OP-415-71505,QU-494-31957,LE-873-14899,OP-105-80423,ACC-390-48897,SP-9o2014z5,Frame,6847,2020-01-25 23:41:00,Bray,Spare Parts
IN-003-19181,OP-456-97605,QU-881-58694,LE-952-81234,OP-619-59500,ACC-154-71580,SP-9o2014z5,Frame,5334,2019-11-21 21:59:00,Newbridge,Spare Parts
IN-962-03116,OP-840-89896,QU-367-52775,LE-743-86839,OP-110-50278,ACC-575-59176,SP-9o2014z5,Frame,4320,2020-05-03 10:08:00,Cork,Spare Parts
IN-298-13313,OP-234-73616,QU-593-53750,LE-017-07759,OP-891-59589,ACC-795-03426,SP-9o2014z5,Frame,6353,2019-07-04 10:55:00,Tralee,Spare Parts
IN-355-22981,OP-055-20911,QU-114-58440,LE-677-87015,OP-427-26752,ACC-079-80242,SP-9o2014z5,Frame,4517,2019-05-16 06:26:00,Navan,Spare Parts
IN-651-33210,OP-578-39179,QU-335-58544,LE-658-01560,OP-980-63720,ACC-596-46697,SP-9o2014z5,Frame,6037,2020-04-16 01:48:00,Naas,Spare Parts
IN-645-39957,OP-859-21045,QU-569-80126,LE-175-26580,OP-141-51957,ACC-993-23593,SP-9o2014z5,Frame,4741,2019-07-20 08:39:00,Limerick,Spare Parts
IN-076-85447,OP-106-03601,QU-435-49575,LE-608-41096,OP-246-46417,ACC-317-43711,SP-9o2014z5,Frame,5167,2019-07-28 14:18:00,Limerick,Spare Parts
IN-120-90323,OP-191-42940,QU-220-43856,LE-056-91792,OP-663-45635,ACC-098-57099,SP-9o2014z5,Frame,3980,2019-04-29 10:32:00,Waterford,Spare Parts
IN-967-37236,OP-938-58642,QU-031-20740,LE-916-22133,OP-507-42626,ACC-496-54771,SP-9o2014z5,Frame,1987,2020-01-30 15:29:00,Bray,Spare Parts
IN-046-84109,OP-601-49388,QU-929-91010,LE-708-26146,OP-655-90855,ACC-026-14753,SP-9o2014z5,Frame,7319,2019-07-24 15:24:00,Ennis,Spare Parts
IN-037-96227,OP-970-54828,QU-034-01690,LE-541-81148,OP-812-45106,ACC-714-41080,SP-9o2014z5,Frame,8180,2019-11-17 06:15:00,Port Laoise,Spare Parts
IN-394-75666,OP-269-74277,QU-698-25435,LE-505-63056,OP-082-36843,ACC-152-47125,SP-9o2014z5,Frame,3791,2020-01-31 00:45:00,Newbridge,Spare Parts
IN-114-40216,OP-080-03158,QU-781-53656,LE-040-37667,OP-475-45756,ACC-943-50297,SP-9o2014z5,Frame,10105,2020-01-14 17:56:00,Cork,Spare Parts
IN-387-08208,OP-926-13621,QU-107-65809,LE-989-22565,OP-791-06492,ACC-871-38169,SP-1j3802q0,Belts,4893,2020-02-23 10:57:00,Dublin,Spare Parts
IN-437-50257,OP-622-86144,QU-890-41118,LE-703-11035,OP-883-02475,ACC-624-38371,SP-1j3802q0,Belts,4775,2019-12-12 03:31:00,Limerick,Spare Parts
IN-850-82730,OP-664-69559,QU-285-91698,LE-781-32118,OP-245-10022,ACC-673-15050,SP-1j3802q0,Belts,7108,2019-06-05 08:43:00,Naas,Spare Parts
